Screen,Control Label,Control Type,Expected Behavior,Observed Behavior / Evidence,Result,Severity,Recommended Fix
Mission Control,🏠 Mission Control,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,🏭 Today's Production,button,"Reachable, produces the labelled action, gives visible feedback",NAV-001: stays highlighted simultaneously with '✨ ออกแบบให้ฉันวันนี้' on every screen — unclear which section is actually active.,CONFUSING,P2,See FULL_UI_UX_AUDIT_REPORT.md remediation plan
Mission Control,✨ ออกแบบให้ฉันวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",NAV-001: highlighted active at the same time as another nav button on every screen visited.,CONFUSING,P2,See FULL_UI_UX_AUDIT_REPORT.md remediation plan
Mission Control,+ โปรเจกต์ใหม่,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,📊 Overview,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,🎨 Pattern Studio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,📂 Portfolio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,💾 Backup,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,📈 AI Market Advisor,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,🎨 AI Design Director,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
