ID,Title,Screen,Severity,Category,Description,Evidence,Recommended Fix
BUG-001,Every freshly-generated Factory package is Blocked from commercial export (0 Ready of 11),Today's Production -> Export,P0,Broken workflow,"A fresh 'Generate Now' Factory batch produces assets whose Commercial Readiness check 'Generator completed' always FAILs with 'No generator version recorded on this asset' -- a metadata field the Factory/Autopilot pipeline never writes. Combined with 'Duplicate check complete: WARNING -- no production fingerprint computed', every asset from a brand-new Factory run is permanently blocked (Export Readiness Dashboard: 0 Ready / 11 Blocked) with no owner-facing control to fix the missing metadata. This defeats the literal primary user goal (Generate -> Preview -> Export -> Download).","workflowA/09_export_tab.png; workflowA_exportDeepDive.mjs output showing 'Generator completed: FAIL -- No generator version recorded on this asset' on a genuinely fresh autopilotcplan... asset (Commercial Readiness 68%25 BLOCKED); reproduced again offline in Workflow E.",Wire the Factory/Autopilot generation pipeline to stamp a generatorVersion (and a production fingerprint for duplicate-check) onto every PortfolioAsset/production record it creates, so the Commercial Readiness engine's 'Generator completed' and 'Duplicate check complete' checks can actually pass for legitimately-generated assets.
BUG-002,Session Summary claims '100% Factory Efficiency' while 0 of 10 packages are export-ready,Today's Production -> Progress (Session Summary),P1,Confusing / misleading metric,"After Mark Session Complete, the Session Summary shows Packages Produced 10 / Ready 0 / Repair 10 / Factory Efficiency 100% / Business Outcome 94 side by side. An owner skimming this card would reasonably believe the run succeeded, when in fact zero of the ten patterns are sellable yet.",workflowA/07_after_mark_complete.png,"Either compute 'Factory Efficiency' from real sellable output (0 Ready / 10 Produced would not be 100%), or relabel it to make clear it measures automation/process completion, not commercial readiness."
BUG-003,Progress screen shows the same blocking-reason message duplicated 3x verbatim,Today's Production -> Progress,P2,Confusing,"'Commercial Readiness 68%25 is below the 95%25 threshold. Blocked -- override required to export.' is printed three times back-to-back in the same paragraph while 10 tasks are actually blocked, instead of one message per distinct reason (or a single de-duplicated summary).",workflowA/03_after_start_factory.png,De-duplicate blocking-reason strings before rendering; if multiple tasks share one reason show it once with a count.
BUG-004,10 of 10 REPAIR-status packages are invisible and unreachable from Today's Production,Today's Production -> Review,P1,Dead end,"Session Summary reports 'Repair: 10' but the Review tab (the only review surface in Today's Production) only ever shows the 1 item in REVIEW status. There is no visible tab, filter, or link from Today's Production to see or act on the 9-10 REPAIR-status packages the same session just reported.",workflowA/08_review_tab.png + workflowA/07_after_mark_complete.png (Session Summary 'Repair 10' vs Review tab showing only 1 item),Add a Repair view/filter to Today's Production (or a clear cross-link to wherever Repair items actually live) so 'Repair: 10' is not a number with no owner-facing destination.
BUG-005,Two top-nav buttons appear simultaneously highlighted/active on every screen,Global (all screens),P2,Confusing,"'🏭 Today's Production' and '✨ ออกแบบให้ฉันวันนี้' both render in the active/highlighted blue state at the same time on every single screen visited in this audit (Mission Control, Today's Production, Portfolio, Backup, iPad portrait/landscape) -- not just after navigating between them. Makes it unclear which section is actually current.",crawl screenshots for all 10 screens; workflowA/*.png; workflowF/ipad_portrait_todays_production.png,Fix the active-nav-item logic so exactly one top-level nav button is highlighted at a time.
BUG-006,"6 of 9 modal dialogs do not close on Escape, and focus is not moved into the dialog on open",Portfolio Manager (and shared modal pattern app-wide),P2,Accessibility,"Escape does not close AssetPreviewDialog (confirmed live) and code inspection shows only 3 of the 9 components using the shared 'portfolio-modal-backdrop' pattern implement Escape handling (CollectionAssignmentDialog, CreateCollectionDialog, CollectionDetailPanel). The other 6 -- including all 4 new Hotfix v1.0.1 dialogs (AssetPreviewDialog, MarketplaceSelectionDialog, DownloadCenter, SubmissionHistoryPanel) plus PortfolioHealthCheckPanel and PortfolioImportPanel -- do not. Additionally, focus is not programmatically moved into the dialog when it opens (document.activeElement stayed outside role=dialog).",a11y/01_preview_dialog_open.png + a11y/02_after_escape_attempt.png; script output 'DIALOG COUNT AFTER ESCAPE KEY: 1'; grep confirming 6/9 components lack Escape handling,Add a shared modal hook/component (Escape-to-close + initial focus move + focus trap) and apply it to all 9 portfolio-modal-backdrop consumers instead of duplicating ad hoc dialog logic per component.
BUG-007,No landmark regions (nav/main) for the app shell,Global,P2,Accessibility,"The 11-button top navigation bar and the page's main content area have no <nav>/role=navigation or <main>/role=main landmarks. Screen-reader users have no way to jump directly to navigation or skip to main content -- they must tab linearly through the same ~13 controls on every screen before reaching page content.",accessibilityCheck.mjs output: 'NAV LANDMARK COUNT: 0' / 'MAIN LANDMARK COUNT: 0',"Wrap the top nav bar in <nav aria-label=""Main navigation""> and the routed page content in <main>; consider a 'skip to content' link."
BUG-008,Design Workbench's third panel is crushed unreadable at iPad-portrait width,Pattern Studio (Design Workbench),P1,Responsive,"At 834px width (iPad portrait) the 3-column workbench layout does not adapt -- the rightmost panel (Live Preview/Inspector/etc.) is squeezed to roughly 50px wide, showing only single clipped characters of each word, effectively unusable. The same screen at 1194px (iPad landscape) renders all 3 panels correctly. Document scrollWidth still equals clientWidth at both sizes, so this would not be caught by an automated horizontal-overflow check alone -- only visual inspection surfaces it.",workflowF/ipad_portrait_pattern_studio.png vs workflowF/ipad_landscape_pattern_studio.png,"Below a width threshold (somewhere between 834px and 1194px) collapse the 3-column workbench to a stacked or tabbed single-column layout instead of squeezing all three columns to fit."
BUG-009,Exported/generated asset filenames are long internal-ID slugs shown directly to the owner,"Today's Production -> Review; Portfolio grid cards",P3,Confusing,"Freshly generated assets are named like 'pastel-dream-botanical-floral-toss-pattern-seamless-pattern-autopilotcplan20260805m53ykzcitem20260805b75y9e9repair1' -- concatenated plan/item/repair IDs with no spacing, shown as the primary label on Review cards and Portfolio thumbnails. Not readable at a glance, and looks like a bug/placeholder to a non-technical owner.",workflowA/08_review_tab.png; workflowC/02_assets_selected.png,"Show a short human-friendly display name (style + date, or a sequence number) as the primary label, and keep the full slug as a secondary/technical detail (e.g. under 'Asset ID')."
BUG-010,Export tab's asset picker defaults to an unrelated/older asset instead of one from the batch just produced,Today's Production -> Export,P2,Confusing,"Immediately after a Factory run that produced 10 new patterns, the Commercial Package Builder's asset dropdown on the Export tab defaults to selecting a pre-existing, unrelated asset ('dark-floral-mix-retro-70s-x-plaid-check...') rather than one of the just-produced batch, even though the surrounding Business Metrics panel is clearly reporting on 'today'.",workflowA/09_export_tab.png,Default the asset picker to the most recently produced/most relevant asset from the current session instead of an arbitrary/first item.
